"key","idx","date","home","away","label","t_start","t_end","clip_folder","clip_folder_path","proxy_exists","transforms_exists","stabilized_exists","branded_exists","branded_brand","branded_post","branded_paths","proxy_path","transforms_path","stabilized_path"
"001|2025-10-04|TSC|FC_Tulsa_Black|DRIBBLING|t387.00|t412.00","001","2025-10-04","TSC","FC_Tulsa_Black","DRIBBLING","t387.00","t412.00","001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387.00-t412.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387.00-t412.00_portrait_FINAL","True","True","True","False","False","False","","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387.00-t412.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387.00-t412.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\001__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387.00-t412.00_portrait_FINAL\follow\stabilized.mp4"
"002||||GOAL|t180.80|t191.20","002","","","","GOAL","t180.80","t191.20",,,"False","False","False","True","True","True","C:\Users\scott\soccer-video\out\portrait_reels\branded\002__GOAL__t180.80-t191.20_portrait_BRAND.mp4;C:\Users\scott\soccer-video\out\portrait_reels\branded\002__GOAL__t180.80-t191.20_portrait_POST.mp4",,,
"002|2025-10-04|TSC|FC_Tulsa_Black|BUILD_UP|t421.00|t449.00","002","2025-10-04","TSC","FC_Tulsa_Black","BUILD_UP","t421.00","t449.00","002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00_portrait_FINAL","True","True","True","False","False","False","","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\002__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t421.00-t449.00_portrait_FINAL\follow\stabilized.mp4"
"003|2025-09-13|TSC|NEOFC|BUILD_UP|t224.80|t248.70","003","2025-09-13","TSC","NEOFC","BUILD_UP","t224.80","t248.70","003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70.__DEBUG_FINAL_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70.__DEBUG_FINAL_portrait_FINAL","True","True","True","False","False","False","","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70.__DEBUG_FINAL_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70.__DEBUG_FINAL_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__2025-09-13__TSC_vs_NEOFC__BUILD_UP__t224.80-t248.70.__DEBUG_FINAL_portrait_FINAL\follow\stabilized.mp4"
"003|2025-10-04|TSC|FC_Tulsa_Black|BUILD_UP|t458.00|t487.00","003","2025-10-04","TSC","FC_Tulsa_Black","BUILD_UP","t458.00","t487.00","003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00_portrait_FINAL","True","True","True","False","False","False","","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\003__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t458.00-t487.00_portrait_FINAL\follow\stabilized.mp4"
"004||||GOAL|t266.50|t283.10","004","","","","GOAL","t266.50","t283.10",,,"False","False","False","True","True","True","C:\Users\scott\soccer-video\out\portrait_reels\branded\004__GOAL__t266.50-t283.10_portrait_BRAND.mp4;C:\Users\scott\soccer-video\out\portrait_reels\branded\004__GOAL__t266.50-t283.10_portrait_POST.mp4",,,
"004|2025-10-04|TSC|FC_Tulsa_Black|BUILD_UP|t495.00|t513.00","004","2025-10-04","TSC","FC_Tulsa_Black","BUILD_UP","t495.00","t513.00","004__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t495.00-t513.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\004__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t495.00-t513.00_portrait_FINAL","True","True","True","False","False","False","","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\004__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t495.00-t513.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\004__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t495.00-t513.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\004__2025-10-04__TSC_vs_FC_Tulsa_Black__BUILD_UP__t495.00-t513.00_portrait_FINAL\follow\stabilized.mp4"
"005||||CORNER|t417.90|t431.60","005","","","","CORNER","t417.90","t431.60",,,"False","False","False","True","True","True","C:\Users\scott\soccer-video\out\portrait_reels\branded\005__CORNER__t417.90-t431.60_portrait_BRAND.mp4;C:\Users\scott\soccer-video\out\portrait_reels\branded\005__CORNER__t417.90-t431.60_portrait_POST.mp4",,,
"005|2025-10-04|TSC|FC_Tulsa_Black|SHOT|t600.00|t607.00","005","2025-10-04","TSC","FC_Tulsa_Black","SHOT","t600.00","t607.00","005__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t600.00-t607.00_portrait_FINAL","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\005__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t600.00-t607.00_portrait_FINAL","True","True","True","False","False","False","","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\005__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t600.00-t607.00_portrait_FINAL\proxy.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\005__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t600.00-t607.00_portrait_FINAL\follow\transforms.trf","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\005__2025-10-04__TSC_vs_FC_Tulsa_Black__SHOT__t600.00-t607.00_portrait_FINAL\follow\stabilized.mp4"
"006|2025-09-20|TSC|RVFC|SHOT|t517.00|t528.00","006","2025-09-20","TSC","RVFC","SHOT","t517.00","t528.00",,,"False","False","False","True","False","True","C:\Users\scott\soccer-video\out\portrait_reels\branded\006__2025-09-20__TSC_vs_RVFC__SHOT__t517.00-t528.00_portrait_POST.mp4",,,
